a	啊
a1	锕阿
a2	嗄
ai1	哀哎唉嗳埃挨欸锿
ai2	癌皑
ai3	毐矮蔼霭
ai4	叆嗌嫒暧爱瑷砹碍艾隘
an1	安庵桉氨盦谙鞍鹌𩽾
an3	俺唵垵埯铵
an4	岸按暗案犴胺黯
ang1	肮
ang2	卬昂
ang4	盎
ao1	凹
ao2	嗷嶅廒敖熬獒璈翱聱螯遨鏖鳌
ao3	媪拗袄
ao4	傲坳奡奥岙懊澳鏊隩骜
ba	吧
ba1	八叭岜巴扒捌朳疤笆粑羓芭蚆鲃
ba2	妭拔胈菝跋魃
ba3	把钯靶
ba4	坝灞爸罢耙霸鲅鲌
bai1	掰擘
bai2	白
bai3	佰捭摆柏百
bai4	拜稗败
ban1	扳搬攽斑班瘢癍般颁𨭉
ban3	坂昄板版钣阪
ban4	伴办半扮拌柈湴瓣绊靽
bang1	帮梆浜邦𠳐
bang3	榜绑膀
bang4	傍塝搒棒棓玤磅蒡蚌谤镑
bao1	包孢枹煲胞苞褒龅
bao2	薄雹
bao3	保堡宝葆褓饱鸨
bao4	报抱暴爆豹趵鲍
bei	呗
bei1	卑悲杯椑碑陂鹎
bei3	北
bei4	倍备孛悖惫焙狈琲碚糒背蓓被褙贝辈邶鐾钡鞁鞴
ben1	奔栟犇贲锛
ben3	本畚苯
ben4	倴坋坌笨
beng1	嘣崩祊绷
beng2	甭
beng3	琫
beng4	泵甏蹦迸镚
bi1	逼鲾
bi2	荸鼻
bi3	俾匕吡妣彼比沘秕笔舭鄙
bi4	佖哔坒壁婢嬖币庇庳弊弼必愎敝毕毖毙滗濞狴珌璧畀痹皕碧筚箅篦臂苾荜萆蓖蔽薜裨襞觱诐赑跸避邲铋闭陛馝髀
bian1	煸砭笾编蝙边鞭鳊
bian3	匾扁碥萹褊贬
bian4	便卞变弁忭抃昪汴苄辨辩辫遍𨚕
biao1	儦幖彪摽杓标瀌熛瘭脿膘蔈藨镖镳飑飙骉骠
biao3	婊表裱
biao4	俵鳔
bie1	憋鳖
bie2	别咇蹩
bie3	瘪
bin1	傧宾彬斌槟滨濒玢缤豳邠镔
bin4	摈殡膑髌鬓
bing1	兵冰
bing3	丙摒昺柄炳禀秉蛃邴饼
bing4	并病
bo	卜
bo1	剥哱啵嶓拨播波玻砵菠钵饽𬭛
bo2	檗
bo3	簸跛
bo4	亳伯僰勃博帛搏欂浡渤礴箔脖膊舶袯踣钹铂镈馞驳鹁
bu1	晡逋𬷕
bu2	醭
bu3	卟哺捕补
bu4	不埗埠布怖步瓿簿蔀部钚𫐓
ca1	嚓擦
cai1	偲猜
cai2	才材裁财
cai3	彩睬踩采
cai4	菜蔡
can1	参餐骖
can2	惭残蚕
can3	惨黪䅟
can4	孱掺灿璨粲
cang1	仓伧沧舱苍鸧
cang2	藏
cao1	操糙
cao2	嘈曹槽漕艚螬𥕢
cao3	草
ce4	侧册厕恻测策
cen2	岑梣涔
ceng1	噌
ceng2	层嶒曾
ceng4	蹭
cha1	叉插杈锸馇
cha2	垞察嵖搽查槎檫猹碴茬茶𥻗
cha3	衩蹅镲
cha4	侘姹岔差汊诧
chai1	拆钗
chai2	侪柴豺
chai3	茝
chai4	瘥虿
chan1	搀梴襜觇辿
chan2	儳婵巉廛潺澶瀍禅缠蝉蟾谗躔镡镵馋
chan3	产冁刬啴旵浐蒇谄铲阐骣𬊤
chan4	忏羼韂颤
chang1	伥娼昌猖菖阊鲳
chang2	偿嫦尝常徜肠苌鲿
chang3	厂场惝敞昶氅𬬮
chang4	倡唱怅玚畅鬯
chao1	弨怊抄焯超钞
chao2	嘲巢晁朝潮
chao3	吵炒
chao4	耖
che1	砗车
che3	扯
che4	坼彻掣撤澈㬚
chen1	嗔抻琛瞋郴
chen2	宸尘忱晨沉煁臣谌辰陈
chen3	碜
chen4	榇疢衬谶趁龀
cheng1	偁撑柽牚琤瞠称蛏赪
cheng2	丞乘呈城埕塍宬惩憕成承晟枨橙澂澄珵珹程裎诚酲铖
cheng3	庱逞骋
cheng4	秤
chi1	吃哧嗤媸摛瓻痴眵笞蚩螭魑鸱𫄨
chi2	坻墀弛持池漦篪茌踟迟驰
chi3	侈尺耻胣褫齿
chi4	傺叱啻彳敕斥炽痓瘛翅赤饬
chong1	充冲忡憧摏珫翀舂艟茺㳘
chong2	铳
chong3	埫宠
chong4	崇虫
chou1	婤抽犨瘳
chou2	臭
chou3	丑侴杻瞅
chou4	仇俦帱惆愁椆畴稠筹绸踌酬雠
chu1	出初摴樗䝙䢺
chu2	刍厨橱滁蜍蹰躇锄除雏
chu3	储杵楚楮濋础褚𬺓
chu4	亍俶处怵憷搐斶柷琡畜矗绌触黜
chua1	欻
chuai1	揣搋
chuai4	啜嘬踹
chuan1	川氚穿
chuan2	传圌椽船遄
chuan3	喘舛
chuan4	串钏
chuang1	疮窗
chuang2	噇幢床
chuang3	闯
chuang4	创怆
chui1	吹炊
chui2	倕垂捶棰椎槌锤陲
chun1	堾春椿瑃蝽䲠
chun2	唇淳纯莼醇鹑𬭚
chun3	蠢
chuo1	戳踔逴
chuo2	婼惙绰辍龊
ci1	呲疵跐
ci2	堲慈瓷磁祠糍茈茨词辞雌鹚
ci3	此泚玼𫚖
ci4	伺佽刺次莿赐
cong1	匆囱枞熜璁聪苁葱骢
cong4	丛从悰淙琮
cou4	凑腠辏
cu1	粗
cu2	徂殂
cu4	促猝簇蔟蹙蹴酢醋
cuan1	撺汆蹿镩
cuan4	爨窜篡
cui1	催崔摧榱缞
cui3	漼璀
cui4	啐悴毳淬瘁粹翠脆萃
cun1	村皴邨
cun2	存
cun3	忖
cun4	寸
cuo1	搓撮瑳磋蹉
cuo2	厝挫措棤莝锉错
cuo3	脞
cuo4	嵯痤矬酂鹾
da	垯瘩
da1	嗒搭耷褡𨱏
da2	哒妲怛沓炟笪答荙跶达阘靼鞑𫟼
da3	打
da4	大
dai1	呆呔
dai3	傣歹逮
dai4	代叇垈埭岱带待怠戴殆玳绐袋贷轪迨骀黛
dan1	丹儋单担殚瘅眈箪耽聃郸
dan3	亶掸疸胆赕𬘘
dan4	但啖弹惮憺旦氮淡澹疍萏蛋诞𫢸
dang1	当珰筜裆铛
dang3	党挡谠𣗋
dang4	凼垱宕档砀荡菪𬍡
dao1	刀叨忉氘舠鱽
dao2	捯
dao3	导岛捣祷蹈
dao4	倒到悼焘盗稻纛道
de	地的
de1	嘚
de2	得德锝
de5	地的
den4	扽
deng1	噔灯璒登蹬
deng3	戥等
deng4	凳嶝瞪磴邓镫
di1	低堤氐滴羝镝鞮䃅
di2	嘀嫡敌涤狄笛籴翟荻觌蹢迪髢𬱖
di3	底抵柢砥诋邸骶
di4	娣媂帝弟杕棣玓睇碲禘第缔菂蒂谛踶递䗖𤧛
dian1	巅掂滇甸癫颠
dian3	典点碘踮
dian4	佃坫垫奠店惦扂殿淀玷琔电癜簟钿阽靛
diao1	凋刁叼汈碉貂雕鲷
diao4	吊掉窎调钓铞铫
die1	嗲爹跌
die2	叠喋垤堞昳牒瓞碟绖耋蝶谍蹀迭鲽䏲𫶇
ding1	丁仃叮玎疔盯耵酊钉
ding3	顶鼎
ding4	啶定碇腚萣订铤锭
diu1	丢铥
dong1	东冬咚岽氡鸫𬟽
dong2	侗冻动垌峒恫栋洞硐胨胴
dong3	懂董
dou1	兜篼蔸都
dou2	斗痘窦豆逗
dou3	抖蚪陡
du1	厾嘟督阇
du2	椟毒渎牍犊独碡读髑黩
du3	堵睹笃赌
du4	妒度杜渡肚芏蠹镀𬭊
duan1	端耑
duan3	短
duan4	塅断椴段煅瑖簖缎锻
dui1	堆
dui4	兑对怼碓祋镦队
dun1	吨墩惇敦礅蹲蹾
dun3	盹趸
